Review,Stars,Date
"Bonjour!
J'ai adopté un chaton mâle il y a quelques mois de ça qui a voulu marquer son territoire dans notre maison à 2 endroits. Après utilisation de ce spray répulsif, il a arrêté!! Le seul défault de ce produit est qu'il laisse une trace légèrement grasse après pulvérisation.",3,Commenté en France le 25 May 2023
très bonne odeur mais à repasser souvent. N'est efficace que si on y repasse tous les deux ou trois jours,4,Commenté en France le 03 June 2023
Mon chat fait quand même ses besoins malgré le produit pulvérisé,3,Commenté en France le 18 June 2023
"J'avoue qu'il est très efficace...mon chat ne monte même plus sur le canapé, donc fini les pipis ...mais l'odeur est vraiment forte ...je dirais même insupportable...dommage car enfin un produit qui fonctionnait. !",4,Commenté en France le 04 June 2023
"j’ai acheté ce produit car mon chaton propre , aime faire pipi sur ma couette et mes rideaux, j’ai essayé le produit car j’en avait marre de faire des machines . Le produit dégage une très forte odeur désagréable, il faut aérée la pièce une fois l’application, a voir dans le temps si mon chat arrête d’uriner au endroit où j’applique le produit",4,Commenté en France le 17 January 2023
"Mon chat s’est soudain mis à faire pipi sur mon canapé, en trois jours de pulverisatio c’était fini",3,Commenté en France le 08 April 2023
Produit qui n’est pas du tout efficace ! Cher pour ce que c’est,3,Commenté en France le 17 March 2023
"Pas de résultats concluants sur mon chat qui faisait des marquages .
Faut dire qu'ils sont deux... Les marquages ne s'enlèvent pas avec un simple spray j'imagine.
L'odeur de citronnelle est infecte ! Mais certainement obligatoire pour de bons résultats",3,Commenté en France le 13 June 2023
"Ayant des amis chez moi en ce moment le chat , pourtant castré, n’arrête pas de marquer son territoire. Du coup après avoir lu les commentaires , je spray régulièrement (tous les 1 ou 2 jours sur les zones de marquage (canapé-lit, couette…), et ça a l’air de fonctionner. Ça sent la citronnelle, comme les produits anti-moustiques, donc faut aimer ou supporter l’odeur. Perso ça ne me gêne pas et c’est pour la bonne cause!",4,Commenté en France le 25 November 2022
Pas très efficace malheureusement,3,Commenté en France le 09 March 2023
"je ne serais dit si ce produit marche correctement car, après avoir passé le produit sur le canapé, le chat a quand même marqué le lendemain, à voir avec le temps. cependant le produit dégage une très forte odeur, un peu comme un répulsif à moustique, un petit conseil aéré bien votre pièce après utilisation.",3,Commenté en France le 20 December 2022
Acheté pour éviter que mon chat urine dans mon garage. Semble assez efficace mais à pulveriser tous les 2 jours environ ce qui fait un sacré débit. Il faut donc racheter régulièrement un flacon ce qui fait un budget conséquent. Odeur forte de citronnelle qui s estompe en quelques heures.,4,Commenté en France le 21 December 2022
pour l'instant pas très performant mais peutetr mes chatons sont trop agés,3,Commenté en France le 29 January 2023
Ça fonctionne pas bien,3,Commenté en France le 12 February 2023
J'ai parcouru le site à la recherche de répulsif et celui-ci semble fonctionner sans nous asphyxier.,3,Commenté en France le 27 February 2023
Pour ma part je ne suis pas satisfaite du produit ça ne l empêche pas de faire sur certain endroit je l'ai acheté sur les conseils d'une amie car pour ses chiens le produit fonctionne bien niveau odeur ça sent très bien je pourrais peut-être m'en servir en été pour faire fuir les moustiques😁,3,Commenté en France le 02 April 2023
Je pense que ça repousse un peu après a voir dans la durée,3,Commenté en France le 25 February 2023
"Utilisation en prévention des urines de chat. Pour l’heure, les chats continuent de venir toujours au même endroit",4,Commenté en France le 08 June 2023
"J ai un jeune chien qui a tendance à uriner encore à l intérieur sa a marcher au début, à la fin sa ne marchais plus trop et il faut faire super attention si on met du produit au sol sa glisse affreux",2,Commenté en France le 04 November 2022
Facile à utiliser produit ne laisse pas de trace sur tapis et tissus,4,Commenté en France le 30 January 2023
Ne fonctionne pas parfaitement déçu,3,Commenté en France le 15 February 2023
Comme répulsif ça ne marche pas mais ça enlève les odeurs d urine,4,Commenté en France le 29 May 2023
"Ce produit est utilisé sur du carrelage pour éviter les pipis de notre petite minette à coté de sa caisse.
Pour le moment nous en appliquons une fois tous les deux jours et pour le moment plus de pipis ...
Enfin, l'odeur du produit n'est pas incommodante ce qui est aussi un bon point.",3,Commenté en France le 26 October 2022
rien a dire,4,Commenté en France le 03 February 2023
J'étais septique mais sa marche !!!! Je recommande fortement cest plutôt cher mais sa se vaut,2,Commenté en France le 30 May 2023
N'a pas les effets escomptés,4,Commenté en France le 10 June 2023
"ça marche avec mon chiot même s'il a fallu du temps Et l'odeur est tout à fait correcte, certains produits puent franchement, celui là c'est pas mal Je ne dirai pas non plus que ça sent super bon hein mais franchement ça va.
J'enlève 1 étoile pour le prix que je trouve excessif.",4,Commenté en France le 23 September 2022
"Sur ambalage il et indiquer 1 fois par semaine mais non .Doit être pulvériser tout les jours pour être efficace.
Odeur plutôt forte citronnelle et canelle.",5,Commenté en France le 12 October 2022
il faut en pulvériser régulièrement....Une chatte vient régulièrement faire pipi devant ma porte pour attirer mon chat ou marquer son territoire...j'ai commencé à l'utiliser mais j'ai oublié un week-end d'en remettre et elle est revenue...donc il faut l'utiliser régulièrement,2,Commenté en France le 24 October 2022
On dirait même que mon chiot va encore plus faire pipi là où j’en pulvérise…,4,Commenté en France le 23 April 2023
